Producto;DescripciÃ³n;Fabricante;Costo;Stock Total
.50HP18RB-SIE-S;MOTOR MONOFASICO 120V 0.5HP 1800RPM A7B10000005072;39;54.571049;0.0
.50HP36RB-SIE-S;MOTOR MONOFASICO 120V 0.5HP 3600RPM;39;65.0;0.0
.5HP18CRB-SIE-S;"""1/2 HP, 1800 RPM""";39;59.649899;0.0
.75HP18RB-SIE-S;MOTOR WEG 0.75HP 3PH 4P IP55 B35 71 IEC IE1;39;186.3;0.0
01.0093;"CODO DE COBRE SOLDABLE DE 1-5/8"" A 90 GRADOS";39;4.4276;0.0
07.0001;TERMINAL TIPO BANDERA PARA ALAMBRE 12-10GA FD32C;39;0.1617;0.0
07.0021;CONTACTOR 40AMP 2POLOS 24V QCA-402 QUALITY;39;7.2996;0.0
1.0HP18RB-SIE;MOT.TRIFASICO 230/460V 1HP 1800RPM 143T GP100;39;141.319999;0.0
1.0HP18RB-SIE-S;MOTOR MONOFASICO 120/230V 1HP 1800 RPM A7B1000009469;39;74.893333;0.0
1.0HP36RB-SIE-S;A7B10000009464/MOT.MONOFASICO 120/230V 1HP 3600 RPM;39;71.557522;0.0
1.5HP18CRB-SIE-S;motorreductor*;39;93.5;0.0
1.5HP18RB-SIE-S;MOTOR MONOFASICO 120/230V 1.5 HP 1800RPM 1RF30574YB41;39;104.056783;0.0
10.0065;"ADAPTADOR PARA HELICE QAH-12 1/2"" LAU1/2";39;8.4545;0.0
10.0072;"CINTA DE ESPONJA 1/8""X2""X30 QTF-230";39;4.004;0.0
10.HP18RB-SIE;MOT.TRIFASICO 230/460V 10HP 1800RPM 215T GP100 A7B10001013481;39;440.900516;0.0
10.HP18RB-SIE GP10;MOT.TRIFASICO 230/460V 10HP 1800RPM 215T GP10;39;323.500941;0.0
100.HP18CRB-SIE;/MOTOR TRIFASICO DE 100 HP NEMA PREMIUM 4 POLOS;39;3112.0;0.0
13.0014;VARILLA DE ALUMINIO PARA SOLDAR AL 88%;39;1.092921;0.0
14.0177;BOMBA DE VACIO 9CFM 115V QVP-900 2 ETAPAS QUALITY;39;214.715;0.0
15.HP18RB-SIE;MOT.TRIFASICO 230/460V 15HP 1800RPM 254T GP100 A7B10001013484;39;526.78;0.0
189-227MFD;Capacitor de Arranque 189-227 110V;39;2.61;0.0
1RF30584YB41;MOTOR MONOFASICO 1.5HP 1750RPM;39;50.0;0.0
2.0HP18RB-SIE;MOT.TRIFASICO 230V/460V 2HP 1800 RPM 145T GP100 A7B10001013482;39;294.380109;0.0
2.0HP18RB-SIE-S;MOTOR MONOFASICO 120/230V 2HP 1800 RPM 1RF30584YB41;39;101.561159;0.0
2.0HP18RB-WEG;MOT.TRIFASICO 230V/460V 2HP 1750 RPM WEG;39;460.0;0.0
2.0HP36RB-SIE;1LA70902AA13 MOTOR DE 2HP TRIFASICO 3600 RPM;39;392.54;0.0
2.0HP36RB-SIE-S;1RF30582YC41 MOTOR DE 2HP MONOFASICO 3600 RPM;39;95.6;0.0
20.HP18RB-SIE;MOT. TRIFASICO 230/460V 20HP 1800RPM GP 100 A7B10001013491;39;667.4;0.0
20FS15-10;POTENCIOMETRO 5K CON CABLES DE CONECCION;39;30.0;0.0
25.0HP18RB-SIE;MOT. TRIFASICO 230/460V 25HP 1800RPM GP 100;39;860.024289;0.0
26336;SELECTOR ON/OFF 20A 240V, EBC;39;15.548673;0.0
2LC0100-2WA00-0AA0;FLENDER COUPLINGS COMPONENT SET OF ELASTOMER FLEXIBLES N-EUPEX 80 (1 SET=6 FLEXIBLES);39;63.75;0.0
